Question,A,B,C,D
Điện tích dương và điện tích âm có tính chất gì khi tương tác với nhau?,"Cùng loại hút nhau, khác loại đẩy nhau","Cùng loại đẩy nhau, khác loại hút nhau",Không có tác dụng lực với nhau,Chỉ hút nhau khi ở trong chất cách điện
"Một vật nặng 10 kg đặt trên mặt đất chịu tác dụng của trọng lực khoảng bao nhiêu? (Lấy g≈9,8m/s2)","9,8 N",98 N,980 N,9800 N
"Nếu ảnh gốc có 3 kênh RGB với giá trị tại 1 điểm ảnh lần lượt là (120, 90, 60), thì giá trị Intensity Map theo định nghĩa trong HVI là bao nhiêu?",120,90,60,270
"Trong Linear Regression, hàm mất mát và đạo hàm theo công thức trong tài liệu Public_107 lần lượt là gì?",L(w)=2N1​∥y−Xˉw∥22​; ∇wL(w)=1NXˉT(Xˉw−y)\nabla_w L(w) = \frac{1}{N}\bar{X}^T(\bar{X}w - y) ∇w​L(w)=N1​XˉT(Xˉw−y),L(w)=21​∥y−Xw∥22​; ∇wL(w)=XT(Xw−y)\nabla_w L(w) = X^T(Xw - y) ∇w​L(w)=XT(Xw−y),L(w)=∥y−Xˉw∥1​; ∇wL(w)=XˉT(y−Xˉw)\nabla_w L(w) = \bar{X}^T(y - \bar{X}w) ∇w​L(w)=XˉT(y−Xˉw),L(w)=∥y−Xw∥∞​; ∇wL(w)=XT(y−Xw)\nabla_w L(w) = X^T(y - Xw) ∇w​L(w)=XT(y−Xw)
Một ô tô chạy trên đường vòng bán kính 50 m với tốc độ 36 km/h. Hỏi gia tốc hướng tâm của ô tô là bao nhiêu?,2 m/s²,4 m/s²,6 m/s²,8 m/s²
Mục tiêu của quá trình huấn luyện Linear-Chain CRFs là gì?,Tìm chuỗi nhãn tối ưu,Giảm số đặc trưng,Tìm bộ trọng số w để log-likelihood lớn nhất,Tăng tốc độ suy luận
Nhược điểm của thuật toán K láng giềng trong học đa nhãn là gì?,Thời gian thực thi chậm,Công thức phức tạp,Yêu cầu nhiều biến số,Yêu cầu không gian lưu trữ lớn
"Trong ứng dụng phân loại văn bản, hai vấn đề chủ yếu cần giải quyết khi sử dụng phân loại Naive Bayes là gì?",Số lượng từ trong văn bản và hàm chia,Cách biểu diễn văn bản và công thức,Bản quyền và tính open source,Định dạng văn bản đầu vào và xây dựng bộ dữ liệu
Thành phần nào mô tả xác suất chuyển giữa các trạng thái ẩn trong HMM?,Ma trận chuyển trạng thái (A),Ma trận phát xạ (B),Phân phối xác suất ban đầu (π),Tập quan sát (O)
"Theo định luật Kepler, tất cả các hành tinh chuyển động trên quỹ đạo nào, và vận tốc bán kính nối từ Mặt Trời đến hành tinh quét diện tích trong thời gian bằng nhau có ý nghĩa gì?","Quỹ đạo tròn, và diện tích quét bằng nhau chứng tỏ hành tinh chuyển động đều quanh Mặt Trời","Quỹ đạo elip, và diện tích quét bằng nhau chứng tỏ hành tinh chuyển động nhanh khi gần Mặt Trời và chậm khi xa Mặt Trời","Quỹ đạo parabol, và diện tích quét bằng nhau chứng tỏ lực hấp dẫn không đổi","Quỹ đạo elip, và diện tích quét bằng nhau chứng tỏ vận tốc luôn không đổi"
Âm học là ngành nghiên cứu về hiện tượng nào?,Dao động và sóng ánh sáng,Dao động và sóng âm thanh,Dao động điện từ,. Dao động hạt nhân
Hiện tượng nào giải thích được cả màu sắc cầu vồng và màu đỏ cam lúc hoàng hôn?,Tán sắc và Tán xạ,Tán sắc và Khúc xạ,Khúc xạ và Phản xạ,Tán xạ và Giao thoa
"Yếu tố ""đầu ra = 1 nếu dự đoán đúng và = 0 nếu ngược lại"" nằm trong các đo độ nào được nhắc đến trong tài liệu?",Hamming Loss và Average Precision,Hamming Loss và One Error,One Error và Coverage,Average Precision và Ranking Loss
"Một sóng cơ truyền dọc theo sợi dây có vận tốc 
v=20m/s. Biết tần số của sóng là 
f=5Hz. Bước sóng của sóng này bằng bao nhiêu?",2 m,3 m,4 m,. 5 m
Hiện tượng con quay hồi chuyển không bị đổ khi quay nhanh là do:,Lực hấp dẫn yếu đi khi vật quay nhanh.,Mômen động lượng lớn làm thay đổi hướng chậm dần.,Trọng lực và phản lực triệt tiêu nhau hoàn toàn.,Khối tâm dịch chuyển về đúng điểm tựa.
Tiêu chuẩn Rayleigh dùng để làm gì?,Xác định công thoát electron của kim loại,Đo vận tốc ánh sáng,Xác định khả năng phân giải của hệ quang học,Tính cường độ điện trường
"Nếu ảnh đầu vào có kích thước 32×32, bộ lọc 5×5, stride = 1, padding = 0, thì kích thước đầu ra là bao nhiêu?",30×30,28×28,27×27,25×25
Chìa khóa giúp LSTM truyền tải thông tin xuyên suốt nhiều bước thời gian là gì?,Hidden state,Output state,Cell state,Forget gate
"Trong vật lý, những đại lượng nào là vô hướng?",Vận tốc,Gia tốc,Tốc độ,Lực
Các thành phần nào thuộc cơ chế Lighten Cross-Attention (LCA)?,Cross Residual Block và Edge Loss,Intensity Enhance Layer và Gradient Block,Color Denoise Layer và Perceptual Loss,"Cross Attention Block, Intensity Enhance Layer, Color Denoise Layer"
"Đối với sóng cơ học, (1) cần có điều kiện gì để sóng truyền được, và (2) khi sóng truyền thì năng lượng có đặc điểm gì?",(1) Cần có môi trường vật chất đàn hồi; (2) Năng lượng được truyền đi nhưng các phần tử môi trường chỉ dao động tại chỗ,(1) Cần có môi trường chân không; (2) Năng lượng truyền đi kèm theo sự dịch chuyển vĩnh viễn của vật chất,(1) Cần có nguồn sáng; (2) Năng lượng không được truyền đi mà chỉ dao động quanh nguồn,(1) Cần có lực ma sát lớn; (2) Năng lượng mất dần theo từng bước truyền
Nội dung chính của tài liệu Hidden Markov Model là gì?,"Trình bày Markov Chain cơ bản, không có trạng thái ẩn",Giới thiệu các loại mô hình xác suất khác nhau,"Giải thích khái niệm, cấu trúc, ba bài toán cơ bản và ứng dụng của HMM",Trình bày chi tiết thuật toán Deep Learning hiện đại
"Trong sóng ngang, các phần tử của môi trường dao động theo hướng nào?",Cùng hướng với phương truyền sóng,Vuông góc với phương truyền sóng,Ngược hướng với phương truyền sóng,Nghiêng một góc với phương truyền sóng
Nội dung chính của tài liệu `Public_120` là gì?,So sánh các phương pháp MLL,Giới thiệu và mô tả các phương pháp MLL,Ứng dụng thực tế của các phương pháp MLL,Cách xây dựng một mô hình MLL
Phương pháp chuyển đổi nhị phân (BR) được hiểu như thế nào?,Dữ liệu được chuẩn hóa về dạng 0 và 1,Output chỉ có 2 nhãn có tính chất ngược nhau,Mỗi nhãn khác nhau xây dựng 1 bộ phân lớp khác nhau,Xây dựng 2 bộ phân lớp chung cho toàn bộ nhãn
Định nghĩa quang phổ trong tài liệu Public_149 là gì?,Tập hợp các bức xạ điện từ phát ra hoặc hấp thụ bởi các chất,Chỉ là ánh sáng trắng nhìn thấy được,Toàn bộ sóng cơ học trong tự nhiên,Dải màu xuất hiện do giao thoa sóng nước
"Trong công thức tính xác suất đồng thời P(X1, X2... Xn) của mạng Bayes có một tham số khác, đó là gì?",Giá trị xác suất trung bình,Giá trị nút cha mẹ,Số biến ngẫu nhiên,Tổng các xác suất
Phương pháp chuyển đổi nhị phân được sử dụng trong các thuật toán MLL nào (được nhắc đến trong tài liệu)?,BR và MLkNN,BR và CC,MLkNN và RAKEL,RAKEL và CC
"Với ma trận trực giao U (UTU=IU^TU=IUTU=I), biểu diễn toạ độ mới yyy của một vector xxx trong hệ cơ sở U là gì?",y=Ux,y=U−1x=UTx,y=(UUT)x,y=UTU−1x
"Theo tài liệu Public_195, Trí tuệ nhân tạo (AI) trong giáo dục bắt đầu được biết đến mạnh mẽ từ năm nào?",1950,1965,2000,2002
"Theo tài liệu, trong mô hình phòng vệ theo chiều sâu (Defence in Depth), yếu tố nào được coi là lớp bảo vệ đầu tiên?


","
Chính sách và quy trình an toàn thông tin",Thiết bị tường lửa, Hệ thống phát hiện xâm nhập (IDS/IPS), Giải pháp sao lưu dữ liệu
"Theo tài liệu, trong quá trình đăng ký Tableau, người dùng cần cung cấp một số thông tin cá nhân. Nếu một người dùng nhập sai địa chỉ email trong bước đăng ký, hệ quả nào có thể xảy ra?
","
Không thể nhận được email xác nhận để kích hoạt tài khoản ",Vẫn đăng nhập bình thường vì email không quan trọng, Hệ thống tự động sửa lại email chính xác,Tableau cấp tài khoản tạm thời không cần xác nhận
Vì sao qubit được xem là điểm khác biệt cốt lõi giữa máy tính lượng tử (MTLT) và máy tính truyền thống (MTTT)?,Tự động loại bỏ hoàn toàn nhu cầu xạ trị.,"Hỗ trợ cải thiện hình ảnh chẩn đoán, lập kế hoạch điều trị chính xác và dự đoán diễn biến bệnh",Thay thế hoàn toàn bác sĩ trong quyết định lâm sàng.,Chỉ phân tích dữ liệu gen mà không liên quan đến hình ảnh y khoa.
"Theo tài liệu Public_180, Stress Testing và Soak Testing là gì?","Stress Testing là quá trình kiểm tra hiệu suất của hệ thống trong thời gian dài. Yếu tố này đánh giá sự ổn định và khả năng chịu được của hệ thống trong môi trường hoạt động liên tục.
Soak Testing đo và đánh giá khả năng chịu đựng của hệ thống khi gặp tải trọng ngoại lệ, vượt quá giới hạn bình thường. Mục tiêu của hoạt động này chính là xác định điểm yếu và giới hạn của hệ thống.","Stress Testing đo và đánh giá khả năng chịu đựng của hệ thống trong thời gian dài. Mục tiêu của hoạt động này chính là xác định điểm yếu và giới hạn của hệ thống.
Soak Testing đo và đánh giá khả năng chịu đựng của hệ thống khi gặp tải trọng ngoại lệ, vượt quá giới hạn bình thường. Mục tiêu của hoạt động này chính là xác định điểm yếu và giới hạn của hệ thống. Yếu tố này đánh giá sự ổn định và khả năng chịu được của hệ thống trong môi trường hoạt động liên tục.","Stress Testing đo và đánh giá khả năng chịu đựng của hệ thống khi gặp tải trọng ngoại lệ, vượt quá giới hạn bình thường. Mục tiêu của hoạt động này chính là xác định điểm yếu và giới hạn của hệ thống.
Soak Testing là quá trình kiểm tra hiệu suất của hệ thống trong thời gian dài. Yếu tố này đánh giá sự ổn định và khả năng chịu được của hệ thống trong môi trường hoạt động liên tục.","Stress Testing đo và đánh giá khả năng chịu đựng của hệ thống khi gặp tải trọng ngoại lệ, vượt quá giới hạn bình thường. Yếu tố này đánh giá sự ổn định và khả năng chịu được của hệ thống trong môi trường hoạt động liên tục.
Soak Testing là quá trình kiểm tra hiệu suất của hệ thống trong thời gian dài. Mục tiêu của hoạt động này chính là xác định điểm yếu và giới hạn của hệ thống."
"Theo tài liệu Public_194, MongoDB là gì?",MongoDB là một phần mềm mã nguồn đóng dùng để quản trị cơ sở dữ liệu NoSQL.,MongoDB là một phần mềm mã nguồn mở dùng để quản trị cơ sở dữ liệu NoSQL.,MongoDB là một ngôn ngữ lập trình hướng đối tượng phổ biến,MongoDB là một phương pháp phát triển phần mềm
"Khi lựa chọn công cụ AI để thiết kế học liệu điện tử, giáo viên nên ưu tiên tiêu chí nào quan trọng nhất để đảm bảo hiệu quả dạy học?","Tính năng phù hợp, dễ sử dụng, chi phí và khả năng tùy chỉnh",Mức độ nổi tiếng của công cụ trên thị trường,Công cụ có nhiều quảng cáo trên mạng xã hội,Chỉ lựa chọn công cụ miễn phí mà không xét đến chất lượng.
Nêu 1 ưu điểm và 1 nhược điểm của Oracle được đề cập trong tài liệu Public_190.,"Ưu điểm của Oracle Database
1. Tính tương thích cao với tất cả các nền tảng và ứng dụng
Hạn chế của Oracle Database
1. Kiến thức SQL và kinh nghiệm quản lý cơ sở dữ liệu là điều kiện tiên quyết để lập trình viên có thể sử dụng phiên bản trên máy chủ cục bộ của Oracle
","Ưu điểm của Oracle Database
1. Dễ cài đặt, dễ mua, chi phí rẻ
Hạn chế của Oracle Database
1.Cộng đồng Oracle bé
","Ưu điểm của Oracle Database
1. Kiến thức SQL và kinh nghiệm quản lý cơ sở dữ liệu không cần nhiều
Hạn chế của Oracle Database
1. Chi phí miễn phí
","Ưu điểm của Oracle Database
1. Không cần học hay tìm hiểu về cơ sở dữ liệu
Hạn chế của Oracle Database
1. Oracle Database có yêu cầu về tiêu chuẩn phần cứng cao cho phiên bản trên máy chủ cục bộ vận hành tại chỗ (on-premise)
"
"Trong bảy vùng của hạ tầng CNTT, nếu một tổ chức chỉ tập trung bảo mật kỹ ở vùng WAN mà bỏ qua vùng Người dùng (User domain), hệ quả nào có khả năng xảy ra nhất?
",Hệ thống vẫn an toàn tuyệt đối vì đã bảo vệ tốt kết nối bên ngoài.,"
 Người dùng nội bộ có thể trở thành mắt xích yếu, vô tình làm lộ thông tin hoặc bị khai thác để vượt qua lớp bảo vệ mạng",Các mối đe dọa từ bên ngoài không còn tác động được đến tổ chức.,Vùng máy chủ sẽ tự động bù đắp thiếu sót và ngăn ngừa rủi ro từ người dùng.
